,Mean,Variance,Kurtosis,Skewness,contrast,dissimilarity,homogeneity,energy,asm,corr,lbp_energy,lbp_entropy,gabor_energy,gabor_entropy,Label
477,107.047568,2321.641881,-0.440008438,-0.017370813,152.4140806,5.00766129,0.298338277,0.024662962,0.000608262,0.96710546,0.175026962,2.702244998,0.26019307,2.187896713,Fire
478,39.882896,2474.756927,5.684766851,2.21851539,631.9663871,10.608,0.341793231,0.119037505,0.014169928,0.872840011,0.208047386,2.601231893,0.754686334,0.901684385,Fire
479,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
480,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
481,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
482,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
483,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
484,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
485,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
486,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
487,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
488,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
489,89.795552,2407.317401,-1.085835843,0.326584988,788.8251774,19.00898387,0.103015731,0.012964552,0.00016808,0.835978691,0.144059397,2.896018877,0.275546042,2.283051179,Fire
490,80.152576,3356.974929,-0.77876739,0.753709764,1303.309194,22.40496774,0.092675718,0.015096774,0.000227913,0.805948754,0.142069066,2.903536897,0.368199079,2.067647868,Fire
491,80.152576,3356.974929,-0.77876739,0.753709764,1303.309194,22.40496774,0.092675718,0.015096774,0.000227913,0.805948754,0.142069066,2.903536897,0.368199079,2.067647868,Fire
492,80.152576,3356.974929,-0.77876739,0.753709764,1303.309194,22.40496774,0.092675718,0.015096774,0.000227913,0.805948754,0.142069066,2.903536897,0.368199079,2.067647868,Fire
493,93.841632,1646.884904,0.929251656,0.843596948,1140.746048,20.80630645,0.115421439,0.015084966,0.000227556,0.653887721,0.145928633,2.884964381,0.299360805,2.16666365,Fire
494,93.841632,1646.884904,0.929251656,0.843596948,1140.746048,20.80630645,0.115421439,0.015084966,0.000227556,0.653887721,0.145928633,2.884964381,0.299360805,2.16666365,Fire
495,93.841632,1646.884904,0.929251656,0.843596948,1140.746048,20.80630645,0.115421439,0.015084966,0.000227556,0.653887721,0.145928633,2.884964381,0.299360805,2.16666365,Fire
496,138.425552,4678.285321,-1.273701265,-0.310925933,120.4243871,6.203741935,0.230155925,0.019273795,0.000371479,0.987107919,0.161884726,2.784340982,0.16909594,2.777659171,Fire
497,65.12632,3280.147483,-0.370506964,0.85344923,950.6369516,18.24285484,0.135547011,0.021430064,0.000459248,0.854658754,0.147737446,2.872252254,0.434294722,1.838014598,Fire
498,89.501408,3362.397614,1.427349756,1.341474342,705.1731129,14.04743548,0.172664922,0.029505348,0.000870566,0.895082815,0.146790819,2.87052006,0.480479514,1.691734691,Fire
499,31.406528,2545.483119,2.391860291,1.813922572,416.403,8.707870968,0.423878727,0.216268979,0.046772271,0.917999023,0.221612941,2.575592026,0.715865239,0.970673581,Fire
500,96.231504,2602.427798,-0.298764452,0.618150942,391.5400484,12.30417742,0.125314019,0.013236915,0.000175216,0.924584251,0.142771576,2.895150265,0.292681535,2.177248167,Fire
501,87.430176,1372.835557,-1.047443656,-0.02274083,14.30233871,1.012596774,0.749457138,0.081522684,0.006645948,0.99479326,0.288591783,2.180262749,0.38518058,1.535863397,Non_Fire
502,57.701984,1144.606162,2.877801023,1.213441936,118.6627097,4.158612903,0.395854213,0.041307569,0.001706315,0.948088058,0.158866008,2.799805498,0.788771812,0.718065316,Non_Fire
503,124.895968,3932.420025,-0.6523001,0.468250202,817.1775968,20.20437097,0.113191603,0.017741745,0.00031477,0.896430775,0.139645182,2.91240564,0.200301644,2.611260613,Non_Fire
504,109.211552,888.1644298,0.458517485,-0.506967055,402.5990484,13.20872581,0.158804999,0.019189997,0.000368256,0.772335426,0.150869772,2.854566996,0.285701281,2.037656727,Non_Fire
505,82.896192,4533.45172,-0.858874053,0.769958836,252.6947258,9.43633871,0.177468581,0.025072133,0.000628612,0.972188092,0.141578897,2.903888824,0.455436103,1.829470194,Non_Fire
506,143.59008,2230.520222,-0.885918915,-0.288048127,936.0732419,17.35885484,0.187740932,0.017047601,0.000290621,0.789530945,0.147325272,2.873806336,0.158384202,2.78794815,Non_Fire
507,119.751536,5346.027786,-1.384935382,0.137958799,314.224629,7.018016129,0.491029395,0.051600946,0.002662658,0.970613839,0.1994997,2.63125507,0.247318412,2.277485659,Non_Fire
508,91.426752,2555.642907,-0.995202731,0.381356712,531.4655968,14.21846774,0.137506684,0.01643193,0.000270008,0.89596046,0.145545738,2.884096148,0.387746354,1.92842831,Non_Fire
509,67.608816,3115.285679,-1.502515304,0.052296007,891.2961613,15.95519355,0.36639508,0.128055381,0.016398181,0.857105063,0.225677081,2.575217646,0.345020137,1.990087872,Non_Fire
510,119.31952,2539.788467,-0.377713155,-0.88124417,912.3883871,16.57880645,0.238097366,0.02772811,0.000768848,0.820474836,0.153611824,2.840935144,0.207119771,2.520446014,Non_Fire
511,102.294448,2167.593796,-0.222267347,-0.055027156,394.6465645,10.30540323,0.322518976,0.029778719,0.000886772,0.90878815,0.162076623,2.800829197,0.253052045,2.244184318,Non_Fire
512,161.783968,4144.283954,-1.094729636,-0.713645008,339.6442258,6.822870968,0.447905306,0.041002443,0.0016812,0.959030657,0.170605938,2.744963405,0.177099344,2.66048042,Non_Fire
